Log_ID,User_ID,Login_Timestamp,IP_Address,Resource_Accessed,Failed_Login_Count,Data_Transfer_Amount
1,1,2025-12-31 13:16:25,142.186.51.36,Email_System,5,2811.23
2,1,2026-01-28 02:20:57,113.34.201.165,HR_Portal,5,2927.08
3,1,2026-01-02 09:21:35,112.128.170.223,Customer_DB,3,1816.36
4,1,2026-01-15 13:44:38,79.59.119.203,Email_System,4,2472.64
5,1,2026-01-13 01:12:59,141.182.14.78,File_Server,0,772.68
6,1,2026-01-25 17:01:12,94.64.61.254,Email_System,5,2116.58
7,1,2026-01-11 07:52:45,166.131.81.79,File_Server,3,1914.28
8,1,2026-01-08 18:36:38,91.150.87.180,Finance_DB,4,1264.56
9,1,2026-01-16 17:33:12,61.227.187.108,Customer_DB,0,3404.61
10,1,2026-01-02 03:52:51,134.76.122.123,File_Server,5,4425.09
11,1,2026-01-02 11:23:08,53.183.34.65,HR_Portal,5,1707.48
12,1,2026-01-04 20:04:28,115.11.24.126,HR_Portal,3,799.21
13,1,2026-01-25 13:35:06,29.128.13.236,File_Server,5,4380.51
14,1,2026-01-08 10:32:45,126.127.230.161,HR_Portal,4,3812.19
15,1,2026-01-03 04:35:48,19.34.17.124,Customer_DB,0,4353.89
16,1,2026-01-01 23:42:23,128.241.202.234,HR_Portal,5,2543.24
17,1,2026-01-04 01:25:33,215.144.107.184,Email_System,1,1875.83
18,1,2026-01-07 14:32:00,62.206.147.143,Email_System,4,4767.96
19,1,2026-01-09 21:48:02,209.224.87.90,Customer_DB,0,2998.73
20,1,2026-01-07 12:34:59,56.252.171.137,Finance_DB,0,568.22
21,1,2026-01-12 09:45:03,222.143.109.183,HR_Portal,2,1204.87
22,1,2026-01-13 09:06:22,63.37.159.222,Email_System,4,4735.28
23,1,2026-01-07 01:07:05,97.189.217.247,File_Server,5,2435.09
24,1,2026-01-02 08:54:17,131.230.186.146,File_Server,4,3831.51
25,1,2026-01-14 18:08:34,94.131.179.250,Email_System,5,2381.66
26,1,2026-01-23 22:37:48,213.9.176.92,Customer_DB,1,1332.63
27,1,2026-01-02 07:02:11,203.148.130.47,Customer_DB,3,4822.17
28,1,2026-01-08 13:16:07,68.89.120.132,Customer_DB,5,3452.44
29,1,2026-01-10 22:47:57,47.193.254.5,Internal_Wiki,2,2000.97
30,1,2026-01-27 15:15:23,133.63.55.85,Internal_Wiki,5,1873.37
31,1,2026-01-19 21:11:57,148.63.103.79,Customer_DB,3,613.81
32,1,2026-01-12 04:34:51,103.65.185.106,Email_System,0,1697.05
33,1,2026-01-11 02:51:22,121.12.9.233,Customer_DB,4,1158.27
34,1,2026-01-14 02:17:19,18.82.69.240,Email_System,0,364.26
35,1,2025-12-30 23:37:12,19.51.11.226,Internal_Wiki,0,1152.42
36,1,2026-01-03 02:07:18,6.31.33.101,File_Server,2,363.58
37,1,2026-01-05 23:05:24,204.140.226.117,Email_System,2,3348.2
38,1,2026-01-11 09:22:44,42.24.134.46,Email_System,4,670.24
39,1,2026-01-20 19:17:20,174.107.142.27,Customer_DB,4,2368.63
40,1,2026-01-29 05:25:23,196.8.2.199,Finance_DB,3,960.15
41,2,2026-01-26 10:55:31,38.161.41.70,File_Server,5,2160.95
42,2,2026-01-06 01:13:38,120.219.53.173,Finance_DB,3,2340.45
43,2,2026-01-26 09:19:09,108.130.18.221,Internal_Wiki,0,3370.09
44,2,2026-01-28 21:26:41,101.175.142.1,Internal_Wiki,0,312.46
45,2,2026-01-09 09:58:30,144.229.28.185,Internal_Wiki,2,4004.96
46,2,2026-01-24 01:36:40,17.160.37.1,File_Server,1,966.03
47,2,2026-01-04 00:18:08,145.181.32.252,Customer_DB,3,709.51
48,2,2026-01-01 16:07:54,72.95.89.104,Email_System,2,2318.51
49,2,2026-01-12 05:58:01,111.17.194.28,File_Server,3,4042.03
50,2,2026-01-26 07:31:16,128.158.109.169,Customer_DB,0,262.44
51,2,2026-01-04 23:06:34,73.138.26.254,Customer_DB,0,4845.29
52,2,2026-01-26 00:25:32,87.161.60.22,Email_System,1,2038.01
53,2,2026-01-27 19:26:23,7.112.52.4,Finance_DB,1,4324.61
54,2,2026-01-05 17:15:06,87.86.115.74,File_Server,1,1901.08
55,2,2026-01-01 11:14:52,214.184.242.109,Finance_DB,2,4633.33
56,2,2026-01-11 15:29:24,150.162.171.178,Finance_DB,2,2120.81
57,2,2026-01-26 17:04:42,221.1.11.39,Internal_Wiki,4,3312.74
58,2,2026-01-07 00:50:04,215.147.90.41,Finance_DB,1,957.59
59,2,2026-01-07 10:05:42,193.90.166.155,Email_System,0,2900.11
60,2,2026-01-19 13:07:29,85.66.134.209,Customer_DB,0,3742.4
61,2,2026-01-19 12:26:51,163.248.126.54,File_Server,0,2925.05
62,2,2026-01-12 11:37:05,105.186.194.122,Customer_DB,4,795.59
63,2,2026-01-18 02:27:37,223.15.228.132,Customer_DB,0,4258.2
64,2,2026-01-10 07:55:15,103.215.89.187,File_Server,4,349.12
65,2,2026-01-16 12:08:54,46.144.236.174,Email_System,3,608.23
66,2,2026-01-10 08:29:30,76.92.61.13,Customer_DB,1,2898.81
67,2,2026-01-18 21:00:48,36.113.99.188,File_Server,4,419.1
68,2,2026-01-13 01:58:16,57.148.84.167,Internal_Wiki,4,2830.48
69,2,2026-01-25 13:30:12,33.196.53.12,HR_Portal,2,1029.25
70,2,2026-01-05 03:08:59,216.91.223.249,Internal_Wiki,2,1201.04
71,2,2026-01-08 04:48:48,144.253.102.161,Finance_DB,1,3361.73
72,2,2026-01-01 09:20:23,91.207.228.131,HR_Portal,3,1587.72
73,2,2026-01-16 07:31:17,186.9.165.3,File_Server,0,2296.84
74,2,2026-01-20 17:12:09,135.102.189.150,Customer_DB,0,375.57
75,2,2026-01-18 05:33:07,214.21.32.21,Email_System,4,1333.35
76,2,2026-01-11 21:32:24,91.232.93.205,HR_Portal,0,4397.56
77,2,2025-12-30 14:44:14,11.39.14.79,HR_Portal,2,797.16
78,2,2026-01-17 05:06:56,26.144.255.169,Customer_DB,5,1519.56
